Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,PedsSen_Count,Weather_Temperature,Weather_Wind_Gust,Weather_Relative_Humidity,Weather_Precipitation,Is_Holiday
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-26,82610.0,20.172918,21.48,75.82983,1.5,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-27,62720.0,20.235418,26.925,75.37932,0.8,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-02-28,15929.0,20.247917,29.025,76.392334,2.6,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-01,18518.0,20.106249,33.735,75.79678,6.9,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-02,18772.0,20.016666,31.2,84.8072,31.300001,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-03,18450.0,20.231249,31.889997,89.142265,6.1000004,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-04,19938.0,19.733334,27.240002,85.7669,5.7999997,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-05,20261.0,18.677084,20.685001,81.62507,3.0999997,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-06,18632.0,19.102083,28.41,77.88696,2.5000002,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-07,41782.0,18.554167,42.524998,67.11083,0.8,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-08,56350.0,18.61875,52.08,63.855404,0.90000004,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-09,60722.0,18.183334,23.834997,72.02463,0.8,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-10,60834.0,18.79375,25.32,74.085846,2.2,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-11,67512.0,19.3375,31.23,81.50304,15.400002,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-03-12,82984.0,18.633333,14.94,78.251656,0.1,0
